EO_total_beta	EM_total_beta	MO_total_beta	EO_direct_beta	MO_direct_beta	EO_total_se	EM_total_se	MO_total_se	EO_direct_se	MO_direct_se	indirect_b_difference	indirect_se_difference_PoE	indirect_b_product_v1	indirect_se_product_v1_PoE	indirect_se_product_v1_delta	indirect_b_product_v2	indirect_se_product_v2_PoE	indirect_se_product_v2_delta	param_snps_m	param_beta_em	param_beta_mo
-0.3793074209448084	-0.22826247144484457	0.08351515056414241	-0.3479119015267362	0.0813197584732398	0.011197929897020235	0.014680123673582237	0.005938094263043539	0.01074181094139482	0.006648275225191725	-0.031395519418072226	0.015517091746820635	-0.019063374670859452	0.01583562422351769	0.001827658575523132	-0.018562249046399557	0.01611538378511563	0.0019308246345678469	253	-0.240201359	0.080970057
-0.38423953807271305	-0.2285221551372313	0.07699158926438622	-0.3514598275116913	0.0775883826541263	0.012079269837588244	0.01364730067055992	0.0067038661639110585	0.01189750795360505	0.007298977226552279	-0.032779710561021747	0.01695462931813505	-0.01759428390613806	0.015204954361532848	0.001857685839083542	-0.017730664417733116	0.015476559183048215	0.001975692413540114	253	-0.240201359	0.080970057
-0.37679555425375777	-0.23168400348263912	0.0765786180678209	-0.34824971362710844	0.07549573881146614	0.010874054677076316	0.011772610744490528	0.006155215174166157	0.010768418303739615	0.006566551573552451	-0.028545840626649333	0.015303721700434822	-0.017742040815120708	0.013284616576385602	0.001687133039958925	-0.017491155013720134	0.013480132169582685	0.0017619547899056485	253	-0.240201359	0.080970057
-0.389165899596676	-0.21895818906419043	0.08425183109498163	-0.3633905998368082	0.07512747585504491	0.009295737000509542	0.01467624089370986	0.005853586274683835	0.009588965431159717	0.006165008787485761	-0.02577529975986781	0.013355110797841335	-0.018447628361899227	0.015800522745952696	0.001780916502971761	-0.016449776062184323	0.015918523176475203	0.0017429504014003887	253	-0.240201359	0.080970057
-0.40244394699861913	-0.23510041424873002	0.0734126800445185	-0.3721260236154162	0.07621214798781685	0.011189603681875314	0.01190509036766695	0.006088022700017978	0.010668781211308138	0.006719369344049111	-0.030317923383202938	0.015460599053471347	-0.017259351489575775	0.01337143212443045	0.0016770388155789016	-0.017917507562721258	0.013670446263530076	0.0018217441793645743	253	-0.240201359	0.080970057
-0.40513622962175866	-0.22005977445659386	0.07450642147850042	-0.3725730470990844	0.07846747315778976	0.010612425702272903	0.012932434648938512	0.006315338719882558	0.010604546694216068	0.0070961014072213205	-0.03256318252267426	0.015002666092267448	-0.016395866306126723	0.014392059237507093	0.001691105602550847	-0.01726753444528205	0.014751356586112131	0.0018623262625775867	253	-0.240201359	0.080970057
-0.38397229298589863	-0.23795737374213302	0.07656669078165868	-0.34976230690253757	0.08118884016819573	0.010870796201156527	0.012183436455585147	0.006131747985270951	0.010968129193052338	0.006736065125831951	-0.034209986083361066	0.015442605610536266	-0.018219608654529484	0.013639444901540367	0.0017318076542160777	-0.019319483183593653	0.013921591045808326	0.0018835372144487285	253	-0.240201359	0.080970057
-0.39585616038850163	-0.23344921466403426	0.08072335601870467	-0.3641821216340947	0.08322564757128134	0.011152338366163072	0.014650479604902962	0.006221613494201188	0.010823729650478313	0.006824759977752145	-0.03167403875440694	0.015541163874692145	-0.01884480406761185	0.015916815860118002	0.0018730143645462741	-0.01942896206542132	0.016162113147964445	0.0020062600025019003	253	-0.240201359	0.080970057
-0.3933001892512972	-0.21955548023897256	0.0859533278005289	-0.3662502234122997	0.08768484328147665	0.009393472542347195	0.014861781701325981	0.006682904606480096	0.010161319375946824	0.006528079971838227	-0.027049965838997547	0.013837981712078645	-0.018871524163382954	0.016295206943060914	0.0019454246767324442	-0.01925168787634365	0.016232325263392893	0.0019371337246795396	253	-0.240201359	0.080970057
-0.380126265492374	-0.2448591531572156	0.08218457522368554	-0.35174417674004993	0.08068218294471868	0.011121396500503082	0.012048788111060027	0.006480424977435809	0.010916861868813566	0.006741552309535406	-0.028382088752324064	0.015584073061435442	-0.020123645491857124	0.013680979600649778	0.0018704147892862775	-0.01975577099071936	0.013806586199615877	0.0019157072704692561	253	-0.240201359	0.080970057
