EO_total	EM_total	MO_total	EO_direct	MO_direct	indirect_b_difference	indirect_b_product_v1	indirect_b_product_v2	param_snps_m	param_beta_em	param_beta_mo
-0.38964710877088077	-0.23492592040678303	0.07255771138805489	-0.36157612159060865	0.07336917139356348	-0.028070987180272122	-0.017045687130448517	-0.017236320119115918	253	-0.240201359	0.080970057
-0.4102141699558403	-0.21899195605836178	0.0833437192450234	-0.37641329710229837	0.08492654383283958	-0.03380087285354194	-0.018251604102646604	-0.01859822995522974	253	-0.240201359	0.080970057
-0.3617214946269051	-0.22142490336058926	0.08056318614973983	-0.3311437914357046	0.0839773736980022	-0.03057770319120051	-0.017838695707627306	-0.01859468185555623	253	-0.240201359	0.080970057
-0.38044287403660415	-0.2199109049435082	0.07739388537550623	-0.35290659684807074	0.07948708057102606	-0.02753627718853341	-0.01701975937002172	-0.017480075819691892	253	-0.240201359	0.080970057
-0.4042180027276328	-0.246788005017401	0.07461672818676447	-0.37204075552755866	0.078981955238888693	-0.032177247200074144	-0.01841451349013728	-0.019491799165779006	253	-0.240201359	0.080970057
-0.4079102975692024	-0.230366174243627	0.08143888369915556	-0.37896176711683865	0.08261036169122583	-0.02894853045236373	-0.018760764072446142	-0.01903063297568998	253	-0.240201359	0.080970057
-0.3701331176463838	-0.2185843413576305	0.07799503337966453	-0.341379026648715	0.0823508447646919	-0.02875409099766879	-0.017048493000460376	-0.01800060516313465	253	-0.240201359	0.080970057
-0.42309113837085716	-0.21697337214732476	0.08972643148956505	-0.3877498640804043	0.0951789512776152	-0.03534127429045286	-0.019468246411036838	-0.020651298016150097	253	-0.240201359	0.080970057
-0.384497559189182	-0.21199297752081916	0.08363542533565675	-0.3558616218392562	0.0889379026088953	-0.02863593734992581	-0.017730122843126032	-0.018854210788516346	253	-0.240201359	0.080970057
-0.3961703972627326	-0.25418933746168004	0.08412161370205012	-0.3647785506784471	0.08854504716760032	-0.03139184658428551	-0.021382817253131507	-0.022507206875045534	253	-0.240201359	0.080970057
