EO_total	EM_total	MO_total	EO_direct	MO_direct	indirect_b_difference	indirect_b_product_v1	indirect_b_product_v2	param_snps_m	param_beta_em	param_beta_mo
-0.3881741255234024	-0.21851360389021016	0.07131335385031017	-0.35867090194457696	0.07287636016386054	-0.029503223578825455	-0.01558293795532907	-0.015924476097806114	253	-0.240201359	0.080970057
-0.39284913843379654	-0.2250283606670521	0.07787880880834204	-0.3636186412265177	0.08464891553273579	-0.029230497207278827	-0.017524940676843986	-0.019048406694575297	253	-0.240201359	0.080970057
-0.3988153736999592	-0.21813764649644476	0.07921625981589314	-0.37097378365186423	0.0788693708886967	-0.027841590048094944	-0.01728004848048982	-0.01720437894631551	253	-0.240201359	0.080970057
-0.38638998001339386	-0.2279695377106742	0.07928769820774853	-0.3553520922915102	0.08251139942920402	-0.03103788772188365	-0.018075179906563883	-0.018810085583736428	253	-0.240201359	0.080970057
-0.3604881345627914	-0.23629196079362727	0.08284708922506032	-0.32854800046561183	0.08931572060737149	-0.03194013409717955	-0.019576101159034093	-0.02110458675201159	253	-0.240201359	0.080970057
-0.4049744208417762	-0.22408736772309307	0.07420654961289992	-0.37041797180542474	0.07310766712645139	-0.034556449036351466	-0.016628750370567855	-0.016382504686742596	253	-0.240201359	0.080970057
-0.3976301454814492	-0.27436799454367256	0.07878867550872887	-0.36126953581357923	0.0861088866951551	-0.03636060966786997	-0.021617090892082108	-0.023625522554938033	253	-0.240201359	0.080970057
-0.38844261058898527	-0.23414833911351288	0.07934994866924931	-0.36022339644251694	0.08333473191668146	-0.02821921414646833	-0.018579658689647227	-0.019512689068760816	253	-0.240201359	0.080970057
-0.4072949487807249	-0.22277289375122517	0.09033286826793205	-0.37125087698069326	0.09317033235060505	-0.03604407180003166	-0.020123714464895446	-0.020755824549507678	253	-0.240201359	0.080970057
-0.4184050433271245	-0.23602465703533443	0.06973239385313854	-0.38821339428926455	0.07223284926089371	-0.03019164903785998	-0.016458564343439886	-0.017048733473487447	253	-0.240201359	0.080970057
