EO_total_beta	EM_total_beta	MO_total_beta	EO_direct_beta	MO_direct_beta	EO_total_se	EM_total_se	MO_total_se	EO_direct_se	MO_direct_se	indirect_b_difference	indirect_se_difference_PoE	indirect_b_product_v1	indirect_se_product_v1_PoE	indirect_se_product_v1_delta	indirect_b_product_v2	indirect_se_product_v2_PoE	indirect_se_product_v2_delta	param_snps_m	param_beta_em	param_beta_mo
-0.39947757981552134	-0.2206096983372724	0.08273131838428058	-0.3751472114117884	0.08316761393860878	0.011472342327546042	0.011810068003600373	0.006626687950741575	0.010572788448658122	0.006672803993474395	-0.024330368403732927	0.015601233735204506	-0.018251331191800977	0.013542182226146894	0.0017583619464391236	-0.018347582222427213	0.013564808121937926	0.001769684071404477	253	-0.240201359	0.080970057
-0.40417937012248906	-0.22794971276778211	0.08983086331112929	-0.3692995276614705	0.0925643569635197	0.01095370047966286	0.012792047669066196	0.006173007051473101	0.01081916634193847	0.006876482523167437	-0.03487984246101855	0.01539603567587126	-0.020476919489453817	0.014203608683190287	0.0018167299681095114	-0.021100018582368766	0.014523170984984275	0.0019644580549757072	253	-0.240201359	0.080970057
-0.388404920786822	-0.22420854672814222	0.08426312871520346	-0.3533434456520728	0.08931413140501318	0.01243126554361253	0.014677746999040557	0.005766804686839239	0.011081453485268993	0.006599602384793363	-0.035061475134749165	0.01665337726594784	-0.01889251363200216	0.01576998076295577	0.0017892512509581724	-0.02002499160460433	0.016093197587962883	0.001976869353088259	253	-0.240201359	0.080970057
-0.38952776312973864	-0.24119655432772885	0.08131616239974836	-0.35866886756595595	0.08204172549609698	0.010975054125670626	0.014117268811780046	0.0061309708590276055	0.010449381362250263	0.006628630116280002	-0.030858895563782685	0.01515392305362354	-0.019613178181973327	0.015391104001282796	0.001872050994946105	-0.019788181500759974	0.015596025645096634	0.0019742363715225474	253	-0.240201359	0.080970057
-0.40384776351434026	-0.24235343246152896	0.08590348612239815	-0.3655881000105595	0.08779871209250432	0.011046208548680535	0.013646451779257012	0.006113152423802692	0.011157405214017755	0.006808990723230414	-0.03825966350378074	0.015700522743231627	-0.02081900472217451	0.014953136083117534	0.0018892343048209394	-0.02127831924131997	0.015250836069954483	0.002039275148106856	253	-0.240201359	0.080970057
-0.3955403055978187	-0.24554159707122514	0.07702186720025879	-0.3634059927977064	0.07681109336269358	0.010986823520688386	0.01605753693343478	0.006434271475017497	0.010880124510419012	0.006994019341419541	-0.03213431280011231	0.01546245130750529	-0.018912072281759354	0.017298680348016317	0.002006403081509755	-0.018860318537062763	0.017514588174341202	0.002114347479961004	253	-0.240201359	0.080970057
-0.4075058903431452	-0.22687519809297607	0.08765930845762394	-0.37213329589367317	0.0896392267144156	0.010799802644477515	0.013672416448118467	0.006450556193200773	0.011481619507101392	0.0069740436521465365	-0.03537259444947205	0.015762719424817367	-0.019887722971016725	0.015117693168351487	0.0018916091485851885	-0.02033691731773423	0.01534836331316228	0.0020013829748233816	253	-0.240201359	0.080970057
-0.3760757116337255	-0.23574658688999356	0.08225970449761366	-0.3440368321801748	0.08390357025336585	0.01132105732572493	0.013442261869758318	0.0067320825471206365	0.011156941936189877	0.007184933569654186	-0.03203887945355072	0.015894769338995217	-0.019392444573891873	0.015033806557103383	0.0019342890841774734	-0.01977998031511579	0.01524197082320728	0.0020349674159696432	253	-0.240201359	0.080970057
-0.4024918565721011	-0.22146204232881864	0.07433175819213197	-0.3737861908560462	0.07684664037470251	0.010809193243011791	0.013594459331256368	0.006469128794658837	0.011140837041698355	0.006814837295562337	-0.02870566571605493	0.015522786752205609	-0.016461662979121442	0.015055196839333169	0.0017531809967375417	-0.01701861392348987	0.015206950117435471	0.001835522440063814	253	-0.240201359	0.080970057
-0.38555799454782314	-0.22605511359670144	0.07104634181842398	-0.3586988174740915	0.07684101368627368	0.011606056540659356	0.013328642503342019	0.006054308155144531	0.010604483768888581	0.006527539050593618	-0.026859177073731644	0.015721183938546206	-0.01606038887039391	0.014639240356635483	0.0016642724351085395	-0.017370304077736286	0.01484120874588455	0.0017961917186888234	253	-0.240201359	0.080970057
